code,name,color,category_id
SM-A022FZADXID,GALAXY A02 3/32GB,GRAY,1
SM-A022FZKDXID,GALAXY A02 3/32GB,BLACK,1
SM-A032FZBDXID,GALAXY A03 core 2/32GB,BLUE,1
SM-A032FZKDXID,GALAXY A03 core 2/32GB,BLACK,1
SM-A035FZBDXID,GALAXY A03 3/32GB,BLUE,1
SM-A035FZKDXID,GALAXY A03 3/32GB,BLACK,1
SM-A035FZRDXID,GALAXY A03 3/32GB,RED,1
SM-A035FZBGXID,GALAXY A03 4/64GB,BLUE,1
SM-A035FZKGXID,GALAXY A03 4/64GB,BLACK,1
SM-A035FZRGXID,GALAXY A03 4/64GB,RED,1
SM-A037FZBGXID,GALAXY A03s 4/64GB,BLUE,1
SM-A037FZKGXID,GALAXY A03s 4/64GB,BLACK,1
SM-A037FZWGXID,GALAXY A03s 4/64GB,WHITE,1
SM-A127FZBHXID,GALAXY A12 4/128GB ,BLUE,1
SM-A127FZBJXID,GALAXY A12 4/128GB ,BLUE,1
SM-A127FZKHXID,GALAXY A12 4/128GB ,BLACK,1
SM-A127FZKJXID,GALAXY A12 6/128GB ,BLACK,1
SM-A127FZWHXID,GALAXY A12 6/128GB ,WHITE,1
SM-A127FZWJXID,GALAXY A12 6/128GB ,WHITE,1
SM-M127FLBGXID,GALAXY M12 4/64GB,BLUE,1
SM-M127FZGGXID,GALAXY M12 4/64GB,GREEN,1
SM-M127FZKGXID,GALAXY M12 4/64GB,BLACK,1
SM-A225FLGRXID,Galaxy A22 LTE 6/128GB,GREEN,1
SM-A225FLVRXID,Galaxy A22 LTE 6/128GB,VIOLET,1
SM-A225FZKRXID,Galaxy A22 LTE 6/128GB,BLACK,1
SM-A226BLVHXID,GALAXY A22 5G 6/128GB,VIOLET,1
SM-A226BZAHXID,GALAXY A22 5G 6/128GB,GRAY,1
SM-A315GZBWXID,GALAXY A31 6/128GB,BLUE,1
SM-A315GZKWXID,GALAXY A31 6/128GB,BLACK,1
SM-A315GZWWXID,GALAXY A31 6/128GB,WHITE,1
SM-A325FZBHXID,GALAXY A32 6/128GB, BLUE ,1
SM-A325FLVHXID,GALAXY A32 6/128GB, VIOLET ,1
SM-A325FZKHXID,GALAXY A32 6/128GB, BLACK ,1
SM-A325FZWHXID,GALAXY A32 6/128GB, WHITE ,1
SM-A325FZKHS08,GALAXY A32 6/128GB (Enterprise Ed.), BLACK ,1
SM-A325FZBIXID,GALAXY A32 8/128GB, BLUE ,1
SM-A325FLVIXID,GALAXY A32 8/128GB, VIOLET ,1
SM-A325FZKIXID,GALAXY A32 8/128GB, BLACK ,1
SM-A325FZWIXID,GALAXY A32 8/128GB, WHITE ,1
SM-A525FLVHXID,GALAXY A52 8/128GB,VIOLET,1
SM-A525FZBHXID,GALAXY A52 8/128GB,BLUE,1
SM-A525FZKHXID,GALAXY A52 8/128GB,BLACK,1
SM-A525FZWHXID,GALAXY A52 8/128GB,WHITE,1
SM-A528BLGGXID,GALAXY A52 8/128GB,GREEN,1
SM-A525FLVIXID,GALAXY A52 8/256GB,VIOLET,1
SM-A525FZBIXID,GALAXY A52 8/256GB,BLUE,1
SM-A525FZKIXID,GALAXY A52 8/256GB,BLACK,1
SM-A525FZWIXID,GALAXY A52 8/256GB,WHITE,1
SM-A528BLGHXID,GALAXY A52s 8/256GB,GREEN,1
SM-A528BLVHXID,GALAXY A52s 8/256GB,VIOLET,1
SM-A528BZKHXID,GALAXY A52s 8/256GB,BLACK,1
SM-A528BZWHXID,GALAXY A52s 8/256GB,WHITE,1
SM-A528BLGIXID,GALAXY A52s 8/256GB,GREEN ,1
SM-A528BZKIXID,GALAXY A52s 8/256GB,BLACK,1
SM-A528BLVIXID,GALAXY A52s 8/256GB,VIOLET,1
SM-A528BZWIXID,GALAXY A52s 8/256GB,WHITE,1
SM-A725FLVGXID,GALAXY A72 8/128GB,VIOLET,1
SM-A725FZBGXID,GALAXY A72 8/128GB,BLUE,1
SM-A725FZKGXID,GALAXY A72 8/128GB,BLACK,1
SM-A725FZWGXID,GALAXY A72 8/128GB,WHITE,1
SM-A725FLVHXID,GALAXY A72 8/256GB,VIOLET,1
SM-A725FZBHXID,GALAXY A72 8/256GB,BLUE,1
SM-A725FZKHXID,GALAXY A72 8/256GB,BLACK,1
SM-A725FZWHXID,GALAXY A72 8/256GB,WHITE,1
SM-G780GLVGXID,GALAXY S20FE 8/128GB,VIOLET,1
SM-G780GZBGXID,GALAXY S20FE 8/128GB,BLUE,1
SM-G780GZGGXID,GALAXY S20FE 8/128GB,GREEN,1
SM-G780GZOGXID,GALAXY S20FE 8/128GB,ORANGE,1
SM-G780GZRGXID,GALAXY S20FE 8/128GB,RED,1
SM-G780GZWGXID,GALAXY S20FE 8/128GB,WHITE,1
SM-G780GLVHXID,GALAXY S20FE 8/256GB,VIOLET,1
SM-G780GZBHXID,GALAXY S20FE 8/256GB,BLUE,1
SM-G780GZGHXID,GALAXY S20FE 8/256GB,GREEN,1
SM-G780GZOHXID,GALAXY S20FE 8/256GB,ORANGE,1
SM-G780GZRHXID,GALAXY S20FE 8/256GB,RED,1
SM-G780GZWHXID,GALAXY S20FE 8/256GB,WHITE,1
SM-G990ELGIXID,GALAXY S21FE 8/128GB,GREEN,1
SM-G990ELVIXID,GALAXY S21FE 8/128GB,VIOLET,1
SM-G990EZAIXID,GALAXY S21FE 8/128GB,GRAY,1
SM-G990EZWIXID,GALAXY S21FE 8/128GB,WHITE,1
SM-G990ELGGXID,GALAXY S21FE 8/256GB,GREEN,1
SM-G990ELVGXID,GALAXY S21FE 8/256GB,VIOLET,1
SM-G990EZAGXID,GALAXY S21FE 8/256GB,GRAY,1
SM-G990EZWGXID,GALAXY S21FE 8/256GB,WHITE,1
SM-G991BZADXID,GALAXY S21 8/128GB,GRAY,1
